DATASET_TITLE,National Statistics 2001 Area Classification of Local Authorities,,,,,,FROM,Jun-2001,Jun-2001,Jun-2001,Jun-2001,Jun-2001,Jun-2001
AREA_TYPE,Local Authority,,,,,,TO,Jun-2001,Jun-2001,Jun-2001,Jun-2001,Jun-2001,Jun-2001
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,Supergroup Name,Supergroup Code,Group Name,Group Code,Subgroup Name,Subgroup Code
,,,,,,,MEASUREMENT_UNIT,Classification,Classification,Classification,Classification,Classification,Classification
,,,,,,,STATISTICAL_UNIT,Areas,Areas,Areas,Areas,Areas,Areas
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
B,North West,13,Cheshire,13UB,Chester,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - A,5.7.12
B,North West,13,Cheshire,13UC,Congleton,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
B,North West,13,Cheshire,13UD,Crewe and Nantwich,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
B,North West,13,Cheshire,13UE,Ellesmere Port & Neston,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
B,North West,13,Cheshire,13UG,Macclesfield,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
B,North West,13,Cheshire,13UH,Vale Royal,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
B,North West,16,Cumbria,16UB,Allerdale,,,Coastal and Countryside,6,Coastal and Countryside.,6.1,Coastal and Countryside - B,6.10.18
B,North West,16,Cumbria,16UC,Barrow-in-Furness,,,Mining and Manufacturing,7,Industrial Hinterlands,7.11,Industrial Hinterlands - A,7.11.20
B,North West,16,Cumbria,16UD,Carlisle,,,Coastal and Countryside,6,Coastal and Countryside.,6.1,Coastal and Countryside - B,6.10.18
B,North West,16,Cumbria,16UE,Copeland,,,Mining and Manufacturing,7,Industrial Hinterlands,7.11,Industrial Hinterlands - A,7.11.20
B,North West,16,Cumbria,16UF,Eden,,,Coastal and Countryside,6,Coastal and Countryside.,6.1,Coastal and Countryside - A,6.10.17
B,North West,16,Cumbria,16UG,South Lakeland,,,Coastal and Countryside,6,Coastal and Countryside.,6.1,Coastal and Countryside - A,6.10.17
B,North West,30,Lancashire,30UD,Burnley,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - A,1.2.2
B,North West,30,Lancashire,30UE,Chorley,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
B,North West,30,Lancashire,30UF,Fylde,,,Coastal and Countryside,6,Coastal and Countryside.,6.1,Coastal and Countryside - A,6.10.17
B,North West,30,Lancashire,30UG,Hyndburn,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - A,1.2.2
B,North West,30,Lancashire,30UH,Lancaster,,,Cities and Services,1,Regional Centres,1.1,Regional Centres - A,1.1.1
B,North West,30,Lancashire,30UJ,Pendle,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - A,1.2.2
B,North West,30,Lancashire,30UK,Preston,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - A,1.2.2
B,North West,30,Lancashire,30UL,Ribble Valley,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
B,North West,30,Lancashire,30UM,Rossendale,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
B,North West,30,Lancashire,30UN,South Ribble,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
B,North West,30,Lancashire,30UP,West Lancashire,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - A,5.7.12
B,North West,30,Lancashire,30UQ,Wyre,,,Coastal and Countryside,6,Coastal and Countryside.,6.1,Coastal and Countryside - A,6.10.17
D,Yorkshire and The Humber,,,00CC,Barnsley,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
D,Yorkshire and The Humber,,,00CE,Doncaster,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
D,Yorkshire and The Humber,,,00CF,Rotherham,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
D,Yorkshire and The Humber,,,00CG,Sheffield,,,Cities and Services,1,Regional Centres,1.1,Regional Centres - A,1.1.1
D,Yorkshire and The Humber,,,00CX,Bradford,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - A,1.2.2
D,Yorkshire and The Humber,,,00CY,Calderdale,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - A,1.2.2
D,Yorkshire and The Humber,,,00CZ,Kirklees,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - A,1.2.2
D,Yorkshire and The Humber,,,00DA,Leeds,,,Cities and Services,1,Regional Centres,1.1,Regional Centres - A,1.1.1
D,Yorkshire and The Humber,,,00DB,Wakefield,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
D,Yorkshire and The Humber,,,00FA,"Kingston upon Hull, City of",,,Mining and Manufacturing,7,Industrial Hinterlands,7.11,Industrial Hinterlands - A,7.11.20
D,Yorkshire and The Humber,,,00FB,East Riding of Yorkshire,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
D,Yorkshire and The Humber,,,00FC,North East Lincolnshire,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
D,Yorkshire and The Humber,,,00FD,North Lincolnshire,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
D,Yorkshire and The Humber,,,00FF,York,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - A,5.7.12
D,Yorkshire and The Humber,36,North Yorkshire,36UB,Craven,,,Coastal and Countryside,6,Coastal and Countryside.,6.1,Coastal and Countryside - A,6.10.17
D,Yorkshire and The Humber,36,North Yorkshire,36UC,Hambleton,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
D,Yorkshire and The Humber,36,North Yorkshire,36UD,Harrogate,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
D,Yorkshire and The Humber,36,North Yorkshire,36UE,Richmondshire,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
D,Yorkshire and The Humber,36,North Yorkshire,36UF,Ryedale,,,Coastal and Countryside,6,Coastal and Countryside.,6.1,Coastal and Countryside - A,6.10.17
D,Yorkshire and The Humber,36,North Yorkshire,36UG,Scarborough,,,Coastal and Countryside,6,Coastal and Countryside.,6.1,Coastal and Countryside - B,6.10.18
D,Yorkshire and The Humber,36,North Yorkshire,36UH,Selby,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,,,00FK,Derby,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - A,1.2.2
E,East Midlands,,,00FN,Leicester,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - B,1.2.3
E,East Midlands,,,00FP,Rutland,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
E,East Midlands,,,00FY,Nottingham,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - B,1.2.3
E,East Midlands,17,Derbyshire,17UB,Amber Valley,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
E,East Midlands,17,Derbyshire,17UC,Bolsover,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
E,East Midlands,17,Derbyshire,17UD,Chesterfield,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
E,East Midlands,17,Derbyshire,17UF,Derbyshire Dales,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
E,East Midlands,17,Derbyshire,17UG,Erewash,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
E,East Midlands,17,Derbyshire,17UH,High Peak,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,17,Derbyshire,17UJ,North East Derbyshire,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
E,East Midlands,17,Derbyshire,17UK,South Derbyshire,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,31,Leicestershire,31UB,Blaby,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,31,Leicestershire,31UC,Charnwood,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - A,5.7.12
E,East Midlands,31,Leicestershire,31UD,Harborough,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,31,Leicestershire,31UE,Hinckley and Bosworth,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,31,Leicestershire,31UG,Melton,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,31,Leicestershire,31UH,North West Leicestershire,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,31,Leicestershire,31UJ,Oadby and Wigston,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - A,5.7.12
E,East Midlands,32,Lincolnshire,32UB,Boston,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
E,East Midlands,32,Lincolnshire,32UC,East Lindsey,,,Coastal and Countryside,6,Coastal and Countryside.,6.1,Coastal and Countryside - A,6.10.17
E,East Midlands,32,Lincolnshire,32UD,Lincoln,,,Cities and Services,1,Regional Centres,1.1,Regional Centres - A,1.1.1
E,East Midlands,32,Lincolnshire,32UE,North Kesteven,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
E,East Midlands,32,Lincolnshire,32UF,South Holland,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
E,East Midlands,32,Lincolnshire,32UG,South Kesteven,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,32,Lincolnshire,32UH,West Lindsey,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
E,East Midlands,34,Northamptonshire,34UB,Corby,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
E,East Midlands,34,Northamptonshire,34UC,Daventry,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,34,Northamptonshire,34UD,East Northamptonshire,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,34,Northamptonshire,34UE,Kettering,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,34,Northamptonshire,34UF,Northampton,,,Prospering UK,5,New and Growing Towns,5.8,New and Growing Towns - A,5.8.15
E,East Midlands,34,Northamptonshire,34UG,South Northamptonshire,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
E,East Midlands,34,Northamptonshire,34UH,Wellingborough,,,Prospering UK,5,New and Growing Towns,5.8,New and Growing Towns - A,5.8.15
E,East Midlands,37,Nottinghamshire,37UB,Ashfield,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
E,East Midlands,37,Nottinghamshire,37UC,Bassetlaw,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
E,East Midlands,37,Nottinghamshire,37UD,Broxtowe,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - A,5.7.12
E,East Midlands,37,Nottinghamshire,37UE,Gedling,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - A,5.7.12
E,East Midlands,37,Nottinghamshire,37UF,Mansfield,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
E,East Midlands,37,Nottinghamshire,37UG,Newark and Sherwood,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
E,East Midlands,37,Nottinghamshire,37UJ,Rushcliffe,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - A,5.7.12
F,West Midlands,,,00CN,Birmingham,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - B,1.2.3
F,West Midlands,,,00CQ,Coventry,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - A,1.2.2
F,West Midlands,,,00CR,Dudley,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
F,West Midlands,,,00CS,Sandwell,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - B,1.2.3
F,West Midlands,,,00CT,Solihull,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - A,5.7.12
F,West Midlands,,,00CU,Walsall,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - A,1.2.2
F,West Midlands,,,00CW,Wolverhampton,,,Cities and Services,1,Centres with Industry,1.2,Centres with Industry - B,1.2.3
F,West Midlands,,,00GA,"Herefordshire, County of",,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
F,West Midlands,,,00GF,Telford and Wrekin,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
F,West Midlands,,,00GL,Stoke-on-Trent,,,Mining and Manufacturing,7,Industrial Hinterlands,7.11,Industrial Hinterlands - A,7.11.20
F,West Midlands,39,Shropshire,39UB,Bridgnorth,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
F,West Midlands,39,Shropshire,39UC,North Shropshire,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
F,West Midlands,39,Shropshire,39UD,Oswestry,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
F,West Midlands,39,Shropshire,39UE,Shrewsbury and Atcham,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
F,West Midlands,39,Shropshire,39UF,South Shropshire,,,Coastal and Countryside,6,Coastal and Countryside.,6.1,Coastal and Countryside - A,6.10.17
F,West Midlands,41,Staffordshire,41UB,Cannock Chase,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
F,West Midlands,41,Staffordshire,41UC,East Staffordshire,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
F,West Midlands,41,Staffordshire,41UD,Lichfield,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
F,West Midlands,41,Staffordshire,41UE,Newcastle-under-Lyme,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
F,West Midlands,41,Staffordshire,41UF,South Staffordshire,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
F,West Midlands,41,Staffordshire,41UG,Stafford,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
F,West Midlands,41,Staffordshire,41UH,Staffordshire Moorlands,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
F,West Midlands,41,Staffordshire,41UK,Tamworth,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
F,West Midlands,44,Warwickshire,44UB,North Warwickshire,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
F,West Midlands,44,Warwickshire,44UC,Nuneaton and Bedworth,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
F,West Midlands,44,Warwickshire,44UD,Rugby,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
F,West Midlands,44,Warwickshire,44UE,Stratford-on-Avon,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
F,West Midlands,44,Warwickshire,44UF,Warwick,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - A,5.7.12
F,West Midlands,47,Worcestershire,47UB,Bromsgrove,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
F,West Midlands,47,Worcestershire,47UC,Malvern Hills,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
F,West Midlands,47,Worcestershire,47UD,Redditch,,,Mining and Manufacturing,7,Manufacturing Towns,7.12,Manufacturing Towns - A,7.12.22
F,West Midlands,47,Worcestershire,47UE,Worcester,,,Prospering UK,5,New and Growing Towns,5.8,New and Growing Towns - A,5.8.15
F,West Midlands,47,Worcestershire,47UF,Wychavon,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - B,5.7.13
F,West Midlands,47,Worcestershire,47UG,Wyre Forest,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
G,East of England,,,00JA,Peterborough,,,Prospering UK,5,New and Growing Towns,5.8,New and Growing Towns - A,5.8.15
G,East of England,,,00KA,Luton,,,London Suburbs,2,London Suburbs,2.4,London Suburbs - A,2.4.6
G,East of England,,,00KF,Southend-on-Sea,,,Cities and Services,1,Regional Centres,1.1,Regional Centres - A,1.1.1
G,East of England,,,00KG,Thurrock,,,Prospering UK,5,New and Growing Towns,5.8,New and Growing Towns - A,5.8.15
G,East of England,09,Bedfordshire,09UC,Mid Bedfordshire,,,Prospering UK,5,Prospering Smaller Towns,5.7,Prospering Smaller Towns - C,5.7.14
G,East of England,09,Bedfordshire,09UD,Bedford,,,Prospering UK,5,New and Growing Towns,5.8,New and Growing Towns - A,5.8.15
